t,x,y,theta,x_ref,y_ref,theta_ref,ex,ey,eth,v_cmd,omega_cmd,front_left_speed,front_right_speed,rear_caster_angle_deg,caster_ok,V,Vdot_theory
24.8,1.3212083759198703,-0.7161842292492338,1.0762380947244257,1.3188694396213043,-0.7145511886722931,1.0742776862819774,0.00032720774798472596,0.002833792445530018,-0.0019604084424482693,0.35065374293596413,0.23337982838359303,0.3133129703945893,0.387994515477339,-15.617467217263187,1.0,4.549122271147122e-06,-2.1357279895956356e-06
24.82,1.3245370818490727,-0.710011471696009,1.0809056912920978,1.3221896387351353,-0.7083887063056925,1.0789443529486427,0.0003273617652692199,0.002834905811454942,-0.0019613383434551324,0.35065405033233715,0.2333795272974497,0.3133133259647452,0.3879947746999291,-15.617435029523797,1.0,4.552784200638837e-06,-2.137753033101905e-06
24.84,1.3278369425734158,-0.7038232389591343,1.0855732818380464,1.3254810435490894,-0.7022107968352642,1.0836110196153097,0.000327514784702339,0.0028360119677911075,-0.001962262222736655,0.3506543557368405,0.23337922816131298,0.31331367923103043,0.3879950322426506,-15.617403050338673,1.0,4.556423882224748e-06,-2.139765912764446e-06
24.86,1.3311078861688879,-0.697619665885967,1.0902408664012722,1.3287435823838152,-0.6960175948019026,1.0882776862819767,0.0003276668127544589,0.002837110961228633,-0.0019631801192954157,0.35065465916239386,0.233378930962544,0.31331403020838683,0.3879952881164009,-15.617371278355096,1.0,4.560041441122922e-06,-2.14176669511045e-06
24.88,1.334349841341999,-0.6914008876576929,1.0949084450205229,1.3319771841885961,-0.6898092350795393,1.092944352948642,0.00032781785585358353,0.0028382028381566332,-0.001964092071880863,0.3506549606218325,0.23337863568858866,0.3133143789116583,0.38799554233200667,-15.617339712229315,1.0,4.563637001911191e-06,-2.143755446393009e-06
24.900000000000002,1.3375627374313261,-0.6851670397863806,1.0995760177342948,1.3351817785428979,-0.6835858528722083,1.0976110196153108,0.00032796792038378066,0.0028392876446627297,-0.001964998118983985,0.35065526012790366,0.2333783423269878,0.31331472535558563,0.3879957949002217,-15.617308350627376,1.0,4.567210688603447e-06,-2.1457322325747335e-06
24.92,1.3407465044090474,-0.6789182581120284,1.1042435845808347,1.3383572956579033,-0.6773475837110985,1.102277686281976,0.00032811701268857583,0.002840365426536635,-0.001965898298858626,0.3506555576932737,0.23337805086533936,0.3133150695548194,0.38799604583172803,-15.6172771922224,1.0,4.570762624739192e-06,-2.147697119370273e-06
24.94,1.3439010728824596,-0.6726546787996044,1.1089111455981415,1.3415036663780315,-0.6710945634516041,1.1069443529486431,0.0003282651390693913,0.002841436229270669,-0.0019667926494983945,0.3506558533305249,0.2333777612913455,0.3133154115239096,0.3879962951371402,-15.617246235697708,1.0,4.574292933157514e-06,-2.1496501721951496e-06
24.96,1.3470263740954842,-0.6663764383360787,1.1135787008239681,1.3446208221824456,-0.6648269282703612,1.1116110196153102,0.00032841230579069066,0.0028425000980631413,-0.0019676812086579787,0.3506561470521657,0.23337747359277453,0.31331575127732175,0.3879965428270096,-15.61721547974398,1.0,4.577801736253311e-06,-2.1515914562106997e-06
24.98,1.3501223399301583,-0.6600836735274498,1.1182462502958241,1.3477086951865411,-0.6585448146622905,1.1162776862819754,0.0003285585190707116,0.002843557077819264,-0.001968564013848706,0.350656438870612,0.23337718775747118,0.3133160888294166,0.3879967889118074,-15.617184923060691,1.0,4.581289155777746e-06,-2.153521036299535e-06
25.0,1.3531889029081123,-0.653776521495763,1.122913794050973,1.3507672181434294,-0.6522483594376157,1.1209443529486443,0.0003287037850928066,0.0028446072131533898,-0.001969441102328773,0.3506567287982103,0.23337690377337927,0.3133164241944696,0.387997033401951,-15.617154564356571,1.0,4.584755312954606e-06,-2.1554389770575986e-06
25.02,1.3562259961920333,-0.6474551196761231,1.1275813321264403,1.3537963244453963,-0.645937699718893,1.1256110196153095,0.00032884810999464823,0.002845650548391211,-0.0019703125111307784,0.35065701684721556,0.23337662162848966,0.3133167573866572,0.3879972763077739,-15.61712440234724,1.0,4.588200328450574e-06,-2.1573453428306183e-06
25.04,1.3592335535871147,-0.6411196058136992,1.1322488645590099,1.3567959481253595,-0.6396129729380153,1.1302776862819766,0.00032899149988019805,0.0028466871275707123,-0.001971178277033303,0.35065730302981557,0.23337634131089838,0.31331708842007183,0.3879975176395593,-15.61709443575788,1.0,4.591624322349486e-06,-2.1592401976703686e-06
25.060000000000002,1.3622115095424923,-0.6347701179607232,1.1369163913852276,1.359766023858299,-0.6332743168332284,1.1349443529486436,0.000329133960808758,0.0028477169944451375,-0.0019720384365840005,0.35065758735810887,0.23337606280876483,0.3133174173087065,0.38799775740751125,-15.617064663321473,1.0,4.595027414180367e-06,-2.161123605362286e-06
25.080000000000002,1.3651597991526647,-0.6284067944734822,1.1415839126414031,1.3627064869626817,-0.626921869446127,1.1396110196153089,0.0003292754988007444,0.002848740192484147,-0.001972893026094269,0.35065786984411623,0.23337578611032378,0.3133177440664644,0.38799799562176807,-15.617035083779133,1.0,4.5984097229181196e-06,-2.1629956294191454e-06
25.1,1.3680783581589027,-0.6220297740093037,1.1462514283636098,1.3656172734018734,-0.6205557691186452,1.1442776862819777,0.0003294161198417601,0.002849756764875769,-0.001973742081632146,0.350658150499789,0.2333755112039025,0.3133180687071646,0.38799823229241337,-15.617005695880795,1.0,4.601771366985974e-06,-2.1648563330690253e-06
25.12,1.3709671229506415,-0.615639195523534,1.1509189385876883,1.3684983197855274,-0.6141761544900519,1.148944352948643,0.0003295558298726602,0.0028507667545287886,-0.001974585639045401,0.35065842933698893,0.23337523807787786,0.3133183912445285,0.3879984674294494,-15.616976498383364,1.0,4.6051124642546305e-06,-2.166705779284449e-06
25.14,1.3738260305668608,-0.6092351982665111,1.1555864433492458,1.3713495633709711,-0.6077831644939224,1.15361101961531,0.00032969463480165195,0.002851770204073012,-0.001975423733935777,0.35065870636751284,0.2333749667207281,0.31331871169219633,0.38799870104282935,-15.61694749005297,1.0,4.6084331319871566e-06,-2.168544030744206e-06
25.16,1.37665501869745,-0.6028179217805304,1.16025394268366,1.3741709420645671,-0.6013769383551218,1.158277686281977,0.0003298325404931539,0.0028527671558626418,-0.0019762564016829742,0.35065898160306985,0.23337469712098988,0.3133190300637115,0.3879989331424282,-15.616918669663168,1.0,4.611733486923919e-06,-2.170371149862747e-06
25.18,1.3794540256845598,-0.5963875058968047,1.1649214366260798,1.3769623944230696,-0.5949576155867639,1.1629443529486423,0.00032996955277853264,0.002853757651978013,-0.001977083677437541,0.35065925505530304,0.2333744292672746,0.3133193463725391,0.387999163738067,-15.616890035995098,1.0,4.615013645286861e-06,-2.172187198787122e-06
25.2,1.3822229905239383,-0.589944090732417,1.1695889252114249,1.3797238596549581,-0.588525335987182,1.1676110196153093,0.00033010567744607897,0.0028547417342264215,-0.001977905596115548,0.35065952673576956,0.23337416314828047,0.3133196606320447,0.3879993928394944,-15.616861587839061,1.0,4.618273722691123e-06,-2.1739922393700447e-06
25.22,1.3849618528662553,-0.5834878166872685,1.17425640847439,1.3824552776217673,-0.5820802396368752,1.1722776862819764,0.00033024092025222456,0.0028557194441444396,-0.0019787221924136844,0.35065979665596286,0.23337389875276537,0.3133199728555204,0.38799962045640535,-15.616833323991882,1.0,4.621513834206743e-06,-2.175786333211419e-06
25.240000000000002,1.3876705530184097,-0.5770188244410187,1.1789238864494456,1.385156588839391,-0.5756224668954661,1.1769443529486434,0.00033037528691148843,0.0028566908229993066,-0.0019795335008021553,0.35066006482729273,0.2333736360695631,0.3133202830561626,0.38799984659842285,-15.616805243258757,1.0,4.624734094355252e-06,-2.1775695416279386e-06
25.26,1.3903490319448244,-0.5705372549500216,1.183591359170837,1.3878277344793806,-0.5691521583986392,1.1816110196153105,0.0003305087831031849,0.0028576559117914424,-0.001980339555526456,0.35066033126109847,0.23337337508758332,0.3133205912470851,0.3880000712751118,-15.616777344452712,1.0,4.6279346171428156e-06,-2.1793419256624094e-06
