epoch,train_loss,val_loss,lr,elapsed_time,best_val_loss,best_metric_name,best_metric_value,best_epoch,early_stopping_counter,gradients_finite,improved,val_rollout_position_error_20,val_rollout_heading_error_20,rmse_delta_x_body_train,rmse_delta_x_body_val,train_rmse_delta_x_body,val_rmse_delta_x_body,rmse_delta_y_body_train,rmse_delta_y_body_val,train_rmse_delta_y_body,val_rmse_delta_y_body,rmse_delta_theta_train,rmse_delta_theta_val,train_rmse_delta_theta,val_rmse_delta_theta,rmse_v_next_train,rmse_v_next_val,train_rmse_v_next,val_rmse_v_next,rmse_omega_next_train,rmse_omega_next_val,train_rmse_omega_next,val_rmse_omega_next
21,0.0026885990601494512,0.0017508257252710133,0.001,41.45334340000409,0.0017508257252710133,val_loss,0.0017508257252710133,21,0,True,True,0.0037213634713445984,0.0001816139556467533,0.0003139521076005235,0.00022269444662599295,0.0003139521076005235,0.00022269444662599295,0.00030826550254301925,0.0004449761838671457,0.00030826550254301925,0.0004449761838671457,0.0007143244028279351,0.0005606758079551601,0.0007143244028279351,0.0005606758079551601,0.012558074870722746,0.0089077841713785,0.012558074870722746,0.0089077841713785,0.028572974968912843,0.022427033159947984,0.028572974968912843,0.022427033159947984
22,0.0037748573216057455,0.002103786285292229,0.001,43.3000017000013,0.0017508257252710133,val_loss,0.0017508257252710133,21,1,True,False,0.006001455140999316,0.0017143343575298786,0.0003181304545681196,0.00022964684132830638,0.0003181304545681196,0.00022964684132830638,0.00031020953929610054,0.0004409249803661992,0.00031020953929610054,0.0004409249803661992,0.0008573287690613428,0.0006223279940483611,0.0008573287690613428,0.0006223279940483611,0.012725206784058578,0.00918588360002135,0.012725206784058578,0.00918588360002135,0.03429315137381797,0.024893120939835024,0.03429315137381797,0.024893120939835024
23,0.0031025799919897827,0.002569753917512195,0.001,43.62095660000341,0.0017508257252710133,val_loss,0.0017508257252710133,21,2,True,False,0.006735332469719718,0.007822922430932522,0.00032078105754350107,0.00023165323262731171,0.00032078105754350107,0.00023165323262731171,0.00035703243017848693,0.0005188195469578666,0.00035703243017848693,0.0005188195469578666,0.0007677589957757832,0.000686547471890871,0.0007677589957757832,0.000686547471890871,0.012831244196300036,0.009266136907287132,0.012831244196300036,0.009266136907287132,0.030710357871122623,0.027461897462620597,0.030710357871122623,0.027461897462620597
24,0.002612277522001822,0.001869381085873164,0.001,43.91393640000024,0.0017508257252710133,val_loss,0.0017508257252710133,21,3,True,False,0.012223206732721066,0.005874605383723974,0.00031794674319980204,0.0002499393896803928,0.00031794674319980204,0.0002499393896803928,0.0003220737685336217,0.00043400949413425664,0.0003220737685336217,0.00043400949413425664,0.0007014951121194701,0.0005799427495631929,0.0007014951121194701,0.0005799427495631929,0.012717872014080582,0.009997588461296742,0.012717872014080582,0.009997588461296742,0.028059804582277817,0.023197710702484033,0.028059804582277817,0.023197710702484033
25,0.002524204606432083,0.0017847110453093873,0.001,44.21561529999599,0.0017508257252710133,val_loss,0.0017508257252710133,21,4,True,False,0.006257848205737249,0.0002214503474533558,0.0003159067137717152,0.0002498622608941169,0.0003159067137717152,0.0002498622608941169,0.0003014135008124495,0.0004333718246318886,0.0003014135008124495,0.0004333718246318886,0.0006901964515129981,0.0005646558123977476,0.0006901964515129981,0.0005646558123977476,0.012636270000899308,0.009994496384080839,0.012636270000899308,0.009994496384080839,0.027607857213809036,0.02258623168443476,0.027607857213809036,0.02258623168443476
26,0.0024695378415022806,0.0017842440263785679,0.001,44.51772390000406,0.0017508257252710133,val_loss,0.0017508257252710133,21,5,True,False,0.00745212118012037,0.0012017935514450073,0.0003136820389621928,0.00025026335595621597,0.0003136820389621928,0.00025026335595621597,0.0003015294993656158,0.0004449340412746477,0.0003015294993656158,0.0004449340412746477,0.0006822464805226218,0.0005630032930763601,0.0006822464805226218,0.0005630032930763601,0.012547278418583913,0.010010543755875574,0.012547278418583913,0.010010543755875574,0.02728985934080682,0.022520131292554854,0.02728985934080682,0.022520131292554854
27,0.002430421224339236,0.001744276185616337,0.001,44.835827300004894,0.001744276185616337,val_loss,0.001744276185616337,27,0,True,True,0.004778930746492217,0.00030394410714507103,0.0003122428613105291,0.00023804018684986822,0.0003122428613105291,0.00023804018684986822,0.00029987661473227493,0.00043736741858764217,0.00029987661473227493,0.00043736741858764217,0.0006766047548905639,0.0005583607298009592,0.0006766047548905639,0.0005583607298009592,0.012489714434135041,0.009521620794673696,0.012489714434135041,0.009521620794673696,0.02706418994318866,0.02233442914100482,0.02706418994318866,0.02233442914100482
28,0.0023990610448209495,0.0017462854233474053,0.001,46.74464740000258,0.001744276185616337,val_loss,0.001744276185616337,27,1,True,False,0.004956450285002439,0.0004548630677163601,0.0003112366383461285,0.00023805812616632357,0.0003112366383461285,0.00023805812616632357,0.0002978308320667942,0.0004304942986977956,0.0002978308320667942,0.0004304942986977956,0.0006720771026468581,0.0005596247567104081,0.0006720771026468581,0.0005596247567104081,0.012449460737261397,0.00952233348745067,0.012449460737261397,0.00952233348745067,0.026883083345189285,0.022384989965675235,0.026883083345189285,0.022384989965675235
29,0.002366484767842521,0.0017172897836707276,0.001,47.055599500003154,0.0017172897836707276,val_loss,0.0017172897836707276,29,0,True,True,0.003096157569148724,0.000510659534484148,0.00030987693408110386,0.00022842109516952973,0.00030987693408110386,0.00022842109516952973,0.0002967031534573185,0.00042611988382659495,0.0002967031534573185,0.00042611988382659495,0.0006673141668673201,0.0005561246802248723,0.0006673141668673201,0.0005561246802248723,0.01239508353759155,0.009136848002866278,0.01239508353759155,0.009136848002866278,0.026692566165342456,0.022244987786867444,0.026692566165342456,0.022244987786867444
30,0.002331425154933316,0.0017137294924207801,0.001,48.98666629999934,0.0017137294924207801,val_loss,0.0017137294924207801,30,0,True,True,0.004027549024933305,0.00047661224380135536,0.00030904812656176294,0.0002270563059068648,0.00030904812656176294,0.0002270563059068648,0.00029580594101517453,0.00043090350372385533,0.00029580594101517453,0.00043090350372385533,0.0006620264174681198,0.0005550272021141045,0.0006620264174681198,0.0005550272021141045,0.012361919933936706,0.009082260258066261,0.012361919933936706,0.009082260258066261,0.02648105652559918,0.022201087664621495,0.02648105652559918,0.022201087664621495
31,0.002297381236860776,0.0016987302998915828,0.001,53.945364700004575,0.0016987302998915828,val_loss,0.0016987302998915828,31,0,True,True,0.003269463408807878,8.0824363976717e-05,0.0003081719485003432,0.00022411370416858484,0.0003081719485003432,0.00022411370416858484,0.0002951636547459841,0.0004304666642890333,0.0002951636547459841,0.0004304666642890333,0.0006568444852260842,0.0005526677517039462,0.0006568444852260842,0.0005526677517039462,0.012326883727944448,0.008964559765698427,0.012326883727944448,0.008964559765698427,0.026273779151754724,0.02210670903171201,0.026273779151754724,0.02210670903171201
32,0.0022651916170619143,0.0016873009286114367,0.001,56.002275999999256,0.0016873009286114367,val_loss,0.0016873009286114367,32,0,True,True,0.00287452929071338,0.00011663511395454407,0.00030743538451511316,0.00022122614135272457,0.00030743538451511316,0.00022122614135272457,0.0002946127731698785,0.00043048721601336324,0.0002946127731698785,0.00043048721601336324,0.0006518878437431236,0.0005508995927831448,0.0006518878437431236,0.0005508995927831448,0.012297412301191494,0.008849057929960108,0.012297412301191494,0.008849057929960108,0.02607551352156586,0.022035983401596803,0.02607551352156586,0.022035983401596803
33,0.0022273471947775875,0.0016773040839952642,0.001,57.857041199997184,0.0016773040839952642,val_loss,0.0016773040839952642,33,0,True,True,0.002905422765331486,0.00020707864314317703,0.00030661070256643365,0.00021994014600005334,0.00030661070256643365,0.00021994014600005334,0.0002939655330336722,0.00043232621068223676,0.0002939655330336722,0.00043232621068223676,0.0006460047415256941,0.0005489401133495955,0.0006460047415256941,0.0005489401133495955,0.012264426312414475,0.008797610728511745,0.012264426312414475,0.008797610728511745,0.025840189665203708,0.02195760503327436,0.025840189665203708,0.02195760503327436
34,0.002199477872572246,0.0016677487063510665,0.001,59.6822519999987,0.0016677487063510665,val_loss,0.0016677487063510665,34,0,True,True,0.002695960362228653,0.00010071741417050362,0.0003058568518074898,0.0002207269649182671,0.0003058568518074898,0.0002207269649182671,0.00029362002198169443,0.000432970699130666,0.00029362002198169443,0.000432970699130666,0.0006416507608874423,0.0005469369702871804,0.0006416507608874423,0.0005469369702871804,0.012234272319779464,0.008829079285613438,0.012234272319779464,0.008829079285613438,0.025666030200855755,0.02187747843880677,0.025666030200855755,0.02187747843880677
35,0.0021836993430128493,0.0016462105406640933,0.001,61.79297370000859,0.0016462105406640933,val_loss,0.0016462105406640933,35,0,True,True,0.0025939765296881514,0.0004692571237683296,0.00030564024184172854,0.00021821684938992534,0.00030564024184172854,0.00021821684938992534,0.0002931517120884964,0.00043413871565543295,0.0002931517120884964,0.00043413871565543295,0.000639159897878378,0.0005430095263846776,0.000639159897878378,0.0005430095263846776,0.01222561398202697,0.008728682272426286,0.01222561398202697,0.008728682272426286,0.025566395302379526,0.021720380696908452,0.025566395302379526,0.021720380696908452
