step,actual_x,actual_y,actual_theta,cmd_x,cmd_y,cmd_theta,model_x,model_y,model_theta,cmd_position_error,model_position_error,cmd_heading_error,model_heading_error
13,0.8253281224437071,-1.1973983577639662,0.005993190465233056,1.2999999225139618,0.0,0.0,0.8268854823638109,-1.1962997151972896,0.006841053669631947,1.2880512974869358,0.0019058817933070406,0.005993190465233056,0.000847863204398891
14,0.889577261609694,-1.2891210762482468,0.006798341531975893,1.3999999165534973,0.0,0.0,0.8915148305341909,-1.288178181198982,0.0066257331855013035,1.386493575862261,0.0021548142405098526,0.006798341531975893,0.00017260834647458978
15,0.9536962830671517,-1.3805062767098302,0.007222152355097933,1.4999999105930328,0.0,0.0,0.9558617439783482,-1.3793829287159929,0.00829985908785602,1.4846700756340363,0.0024394941428866556,0.007222152355097933,0.001077706732758088
16,1.0176897662614188,-1.4716431424054823,0.007094927652360639,1.5999999046325684,0.0,0.0,1.0202455623650208,-1.470605928159301,0.007612390640133526,1.582661882980351,0.002758243483753551,0.007094927652360639,0.0005174629877728876
17,1.0818804468628378,-1.5629204535132908,0.008241609724791488,1.6999998986721039,0.0,0.0,1.084316900407397,-1.5613992538204462,0.008846293749229517,1.6807117542027181,0.0028723430122994005,0.008241609724791488,0.0006046840244380292
18,1.1463970924070046,-1.6542496609796362,0.00967339606359019,1.7999998927116394,0.0,0.0,1.1492394146504032,-1.6528783467535,0.010415981138066854,1.778690125181253,0.0031558356170945136,0.00967339606359019,0.0007425850744766649
19,1.2110832885552507,-1.745420546196121,0.010756465195299825,1.899999886751175,0.0,0.0,1.2140342782025166,-1.7437610840131057,0.011473178128653672,1.8764591555249504,0.0033855803985621815,0.010756465195299825,0.0007167129333538469
20,1.2759478567326803,-1.8365122578132227,0.011192601927177748,1.9999998807907104,0.0,0.0,1.2792956542397609,-1.834923394983044,0.012275178007257637,1.9740893107052557,0.0037057027999474967,0.011192601927177748,0.001082576080079889
21,1.3409280738100409,-1.9276449429010873,0.011547572790732374,2.099999874830246,0.0,0.0,1.3444389334475924,-1.925680145319815,0.012556743276945781,2.0717154787750642,0.004023253028329463,0.011547572790732374,0.0010091704862134065
22,1.4061804717134505,-2.0190520202353217,0.012437966823199531,2.1999998688697815,0.0,0.0,1.4100033786527206,-2.016898176244455,0.013526706599805038,2.169497705856813,0.004387899429489327,0.012437966823199531,0.0010887397766055074
23,1.4714424203535181,-2.1102166631805614,0.013432441683107754,2.299999862909317,0.0,0.0,1.475770933747688,-2.1081155534422207,0.014610691570851486,2.2670513450690764,0.004811516427911173,0.013432441683107754,0.001178249887743732
24,1.5368364564752326,-2.201218183899568,0.014252917779231211,2.3999998569488525,0.0,0.0,1.5413269159477812,-2.1987539662647566,0.015557476719550323,2.364405326725368,0.005122167004922438,0.014252917779231211,0.0013045589403191116
25,1.6025958300298333,-2.292419789362802,0.015289743834728142,2.499999850988388,0.0,0.0,1.6073387865087434,-2.2896173038095347,0.016549759944609832,2.46181284168695,0.005509043604574885,0.015289743834728142,0.0012600161098816898
26,1.668155478760248,-2.382949431952155,0.015566746729746228,2.5999998450279236,0.0,0.0,1.6731274505218308,-2.3798498453088497,0.017379015909682494,2.5586679968659287,0.005859005082548838,0.015566746729746228,0.0018122691799362656
27,1.7338464185976246,-2.473523340032158,0.016096210540126776,2.699999839067459,0.0,0.0,1.7391829073514375,-2.4702762563636442,0.017206388562044594,2.6555169262441924,0.00624673231136905,0.016096210540126776,0.0011101780219178181
